epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.9291,1.54095,3.22908,1.49946,0.00917,0.84615,0.29854,0.212,0.88467,3.12557,1.22596,6e-05,6e-05,6e-05
2,107.899,1.32031,2.99965,1.32808,0.00958,0.88462,0.34611,0.25555,0.98666,3.00561,1.22307,0.000137228,0.000137228,0.000137228
3,155.097,1.32918,2.39562,1.24145,1,0.1861,0.40933,0.27313,1.02415,2.7232,1.18541,0.000211288,0.000211288,0.000211288
4,207.893,1.35425,1.72476,1.21325,0.8714,0.46154,0.59722,0.42621,1.05256,2.3094,1.17125,0.00028218,0.00028218,0.00028218
5,250.803,1.32733,1.57768,1.22631,0.85492,0.45376,0.65277,0.45782,1.04529,2.27348,1.14506,0.000349904,0.000349904,0.000349904
6,308.527,1.29203,1.40479,1.14729,0.82792,0.37087,0.68551,0.45926,1.00642,2.29331,1.11844,0.00041446,0.00041446,0.00041446
7,376.338,1.23355,1.34225,1.16377,0.86878,0.46154,0.72978,0.51235,0.97651,2.22631,1.11406,0.000475848,0.000475848,0.000475848
8,446.517,1.3401,1.3612,1.16264,0.86087,0.4766,0.65486,0.48334,1.02006,2.11684,1.14616,0.000534068,0.000534068,0.000534068
9,497.628,1.28305,1.31586,1.19924,0.86771,0.50482,0.70187,0.51102,1.01796,1.98723,1.14848,0.00058912,0.00058912,0.00058912
10,547.922,1.22678,1.31916,1.15727,0.93974,0.60035,0.71465,0.52266,1.08487,1.94848,1.1858,0.000641004,0.000641004,0.000641004
11,616.523,1.28504,1.27993,1.18187,0.90724,0.57692,0.74811,0.55117,1.02539,1.8409,1.17512,0.00068972,0.00068972,0.00068972
12,676.359,1.25884,1.28333,1.16147,0.86314,0.57692,0.78253,0.5873,1.0313,1.73538,1.17748,0.000735268,0.000735268,0.000735268
13,739.32,1.20522,1.19156,1.1427,0.83927,0.60295,0.72963,0.54011,1.02058,1.75272,1.16993,0.000777648,0.000777648,0.000777648
14,799.786,1.25954,1.29819,1.19026,0.71857,0.4914,0.6941,0.52425,1.01929,1.76672,1.17839,0.00081686,0.00081686,0.00081686
15,859.621,1.24842,1.15321,1.1588,0.82947,0.53846,0.74737,0.56341,0.99182,1.69635,1.13966,0.000852904,0.000852904,0.000852904
16,910.829,1.17311,1.14892,1.14359,0.84813,0.64473,0.77998,0.55523,1.10309,1.68423,1.19256,0.00088578,0.00088578,0.00088578
17,968.714,1.20053,1.19686,1.15951,0.78117,0.61538,0.76964,0.51459,1.08338,1.60596,1.20202,0.000915488,0.000915488,0.000915488
18,1029.22,1.13306,1.11154,1.11266,0.90929,0.53846,0.73306,0.50582,1.17535,1.65152,1.24456,0.000942028,0.000942028,0.000942028
19,1083.99,1.2229,1.10016,1.12345,0.83642,0.57692,0.71225,0.49406,1.14478,1.65531,1.25951,0.0009654,0.0009654,0.0009654
20,1131.57,1.18497,1.11387,1.14304,0.87573,0.61538,0.70174,0.49178,1.08318,1.6391,1.24302,0.000985604,0.000985604,0.000985604
21,1184.56,1.19326,1.08412,1.15947,0.91721,0.65385,0.72134,0.49457,1.15616,1.65424,1.29102,0.00100264,0.00100264,0.00100264
